Gene	D1_Control.	D2_Control.	D3_Control.	D4_Control.	D5.ntr	D6_Control.	D1_Treated.	D2_Treated.	D3_Treated.	D4_Treated.	D5_Treated.	D6_Treated.
Gng12	571.7654	574.1228	750.6815	1180.5672	1884.5488499999999	2588.5305	624.7456	616.1598	831.0441	1304.5299	1751.5986	2618.8747
Gng13	7.9561	9.8096	7.1487	5.0222	2.5412999999999997	0.0604	14.2212	10.899	7.8116	11.0518	6.0094	2.2924
Gng2	846.5844	947.9846	1004.3866	744.404	804.9248	865.4456	832.1423	993.4196	984.3961	697.0979	727.651	824.2928
Gng3	38.5432	24.8018	38.5969	28.9419	21.502800000000001	14.0637	30.1554	35.0762	36.1443	21.9303	22.6643	33.6744
Gng4	28.646	52.1783	49.9952	309.4155	359.93434999999999	410.4532	15.9227	40.8896	45.8588	369.3856	632.52	303.6881
Gng5	548.8201	619.6181	393.2475	388.3188	492.47615000000002	596.6335	562.6383	535.227	441.4027	427.7766	536.4437	436.9099
Gng7	118.2944	147.2955	165.7358	190.8479	187.8734	184.8989	135.6735	146.1613	186.5313	205.2519	198.1284	167.5998
Gng8	51.1168	56.8583	40.2708	54.5639	43.974999999999994	33.3861	44.2799	46.347	58.6076	41.1909	47.4874	44.167
Gngt1	0.008	0.0	0.0	0.0	0.52690000000000003	1.0538	0.0	0.0	0.0	0.0	1.1285	1.409
Gngt2	16.033	19.4526	21.4501	31.5761	38.833300000000001	46.0905	24.4887	20.5272	16.5812	29.331	29.6321	35.0504
Gnl1	782.9008	783.7806	760.6643	748.7441	635.10885000000007	521.4736	683.2408	811.45	726.5722	762.2035	703.8355	482.9445
Gnl2	1130.6304	893.7617	1081.3955	1063.0377	1073.8969000000002	1084.7561	999.8899	996.8182	991.2186	1104.8168	1071.7542	1126.9853
Gnl3	1153.2917	876.0369	862.7563	842.3767	931.84465	1021.3126	971.6322	897.6404	861.3328	851.9416	970.8584	939.2707
Gnl3l	1618.0895	1442.3535	1509.6642	1334.7324	1287.7040999999999	1240.6758	1584.2151	1428.5879	1444.3548	1333.8145	1317.4851	1306.665
Gnmt	6.9065	12.4582	8.9235	11.0777	10.38475	9.6918	5.606	9.1898	7.8003	17.5126	14.1338	11.7558
Gnpat	1043.1259	1099.7827	1043.7859	959.9679	884.23334999999997	808.4988	1077.1975	993.326	977.552	1004.963	796.4945	672.4464
Gnpda1	64.8514	73.6353	83.3218	104.0256	93.940399999999997	83.8552	90.4857	101.5095	68.3489	78.7714	57.1229	82.9348
Gnpda2	301.2509	402.9385	387.0029	489.8236	544.28359999999998	598.7436	311.8907	371.638	446.2945	486.4671	454.568	554.5857
Gnpnat1	227.318	264.5087	250.8489	221.4021	240.78679999999997	260.1715	270.4783	208.2021	296.8881	239.0795	207.8121	356.3199
Gnptab	438.6852	409.1174	490.9557	508.5136	548.27694999999994	588.0403	442.9104	494.4745	490.237	559.7531	509.1824	632.4711
Gnptg	145.489	160.6542	137.9314	142.2	181.25475	220.3095	142.2852	122.5468	132.8026	148.3879	217.0061	157.4373
Gnrh1	15.8206	10.625	13.4642	8.4333	14.904	21.3747	6.5494	6.9082	12.698	7.2673	8.4129	16.4258
Gnrhr	0.0081	0.0	0.0	0.0	0.0023	0.0046	0.0	0.0	0.0	0.0	1.1287	2.6267
Gns	1337.5063	1250.5791	1591.2002	1572.4393	1542.5389500000001	1512.6386	1345.7508	1456.405	1500.9964	1683.8131	1461.0625	1401.3704
Golga1	676.2045	686.0492	797.3565	880.7628	992.94280000000003	1105.1228	788.785	684.1542	773.44	864.7913	942.3371	1150.0931
Golga2	1055.7113	969.1929	1179.9321	1439.6099	1375.5985499999999	1311.5872	963.1113	1065.2679	1061.5277	1359.5088	1514.3313	1389.1402
Golga3	907.9425	695.7994	921.9123	967.6558	960.08754999999996	952.5193	870.779	874.0862	999.0412	987.5633	919.8419	957.8072
